TimeStamp,InUseCapacity_P50,InUseCapacity_Actual
2026-03-22 17:00:00,1.8173819029801748,1.0
2026-03-22 18:00:00,1.3967077768906804,1.0
2026-03-22 19:00:00,0.9055027597763438,1.2333333333333334
2026-03-22 20:00:00,0.39673656825006814,1.0
2026-03-22 21:00:00,0.22283802909717798,0.9333333333333332
2026-03-22 22:00:00,0.14751830990072384,0.0
2026-03-22 23:00:00,0.1462874738657925,0.0
2026-03-23 00:00:00,0.1556837586381182,0.0
2026-03-23 01:00:00,0.08359676135012911,0.0
2026-03-23 02:00:00,-0.0012305663927480847,0.0
2026-03-23 03:00:00,-0.011620782326481742,0.0
2026-03-23 04:00:00,0.18196467454141274,0.0
2026-03-23 05:00:00,0.18908563974279027,0.0
2026-03-23 06:00:00,1.7682263786377668,1.8666666666666667
2026-03-23 07:00:00,17.267971644484064,16.4
2026-03-23 08:00:00,38.65658559842519,42.38333333333333
2026-03-23 09:00:00,49.607000431002064,53.28333333333333
2026-03-23 10:00:00,54.040125150045405,56.88333333333333
2026-03-23 11:00:00,52.19902397940554,53.016666666666666
2026-03-23 12:00:00,48.86978476649618,48.85
2026-03-23 13:00:00,44.56603278179561,42.91666666666666
2026-03-23 14:00:00,44.341182723924355,41.63333333333333
2026-03-23 15:00:00,41.159808718278825,40.91666666666666
2026-03-23 16:00:00,38.47531288001154,36.49152542372882
2026-03-23 17:00:00,32.20631335907909,30.62295081967213
2026-03-23 18:00:00,21.76277579885838,18.4
2026-03-23 19:00:00,13.052396770561032,8.783333333333333
2026-03-23 20:00:00,4.79306511321715,4.65
2026-03-23 21:00:00,1.803411379931716,2.1333333333333333
2026-03-23 22:00:00,0.6404902854828091,0.2542372881355932
2026-03-23 23:00:00,0.23850646182873747,0.0
2026-03-24 00:00:00,0.156792471139238,0.0
2026-03-24 01:00:00,0.03433604045703936,0.0
2026-03-24 02:00:00,-0.15657946195185787,0.0
2026-03-24 03:00:00,-0.11924413422699581,0.0
2026-03-24 04:00:00,0.07233542845392435,0.0
2026-03-24 05:00:00,0.26339577892932775,0.0
2026-03-24 06:00:00,2.01584487888279,1.55
2026-03-24 07:00:00,19.033320223009326,18.35593220338983
2026-03-24 08:00:00,41.44931708936858,47.11666666666667
2026-03-24 09:00:00,51.049871668060604,55.704918032786885
2026-03-24 10:00:00,54.9922657247687,54.833333333333336
2026-03-24 11:00:00,54.276419308941456,48.05
2026-03-24 12:00:00,48.16332987474415,43.32203389830509
2026-03-24 13:00:00,43.44854561768036,39.56666666666667
2026-03-24 14:00:00,42.70142772459534,37.09836065573771
2026-03-24 15:00:00,42.85272072988431,37.016666666666666
2026-03-24 16:00:00,37.722603540436175,37.8
2026-03-24 17:00:00,30.644311523088803,29.933333333333334
2026-03-24 18:00:00,22.39994695206589,20.1
2026-03-24 19:00:00,12.105789987009956,11.15
2026-03-24 20:00:00,4.607786015287755,3.1
2026-03-24 21:00:00,2.2378490847445036,1.7
2026-03-24 22:00:00,0.3324260437656198,0.0
2026-03-24 23:00:00,0.1369297877622455,0.0
2026-03-25 00:00:00,0.09681069871651851,0.0
2026-03-25 01:00:00,0.058836238529568506,0.0
2026-03-25 02:00:00,-0.1199398130153576,0.0
2026-03-25 03:00:00,-0.050828682164660875,0.0
2026-03-25 04:00:00,0.033033235337231945,0.0
2026-03-25 05:00:00,0.25933722066234766,0.0
2026-03-25 06:00:00,2.3045132708631098,0.7833333333333333
2026-03-25 07:00:00,18.54357575162055,14.433333333333334
2026-03-25 08:00:00,41.85344786321656,37.23333333333333
2026-03-25 09:00:00,50.72041073289468,47.61666666666667
2026-03-25 10:00:00,51.83840360924414,51.38333333333333
2026-03-25 11:00:00,49.65065544417158,48.766666666666666
2026-03-25 12:00:00,45.87214520720686,44.66666666666666
2026-03-25 13:00:00,42.62223226295306,41.440677966101696
2026-03-25 14:00:00,43.13370263685643,42.8688524590164
