TimeStamp,InUseCapacity_P50,InUseCapacity_Actual
2026-03-22 17:00:00,0.8497918983167566,1.0
2026-03-22 18:00:00,0.7016630730027392,1.0
2026-03-22 19:00:00,0.7611903493158916,1.2333333333333334
2026-03-22 20:00:00,0.41621307608598745,1.0
2026-03-22 21:00:00,0.565082966385855,0.9333333333333332
2026-03-22 22:00:00,0.5212274428989504,0.0
2026-03-22 23:00:00,0.763260347504001,0.0
2026-03-23 00:00:00,0.770506003537605,0.0
2026-03-23 01:00:00,0.8442814157087779,0.0
2026-03-23 02:00:00,0.7278209870076123,0.0
2026-03-23 03:00:00,0.9078350784518066,0.0
2026-03-23 04:00:00,0.9861529259748985,0.0
2026-03-23 05:00:00,0.6109657163498734,0.0
2026-03-23 06:00:00,1.6927871280299542,1.8666666666666667
2026-03-23 07:00:00,3.5101770428456156,16.4
2026-03-23 08:00:00,31.938996288560755,42.38333333333333
2026-03-23 09:00:00,48.30184600467227,53.28333333333333
2026-03-23 10:00:00,53.78004954501409,56.88333333333333
2026-03-23 11:00:00,53.21524599070307,53.016666666666666
2026-03-23 12:00:00,48.56327142279807,48.85
2026-03-23 13:00:00,45.46205097018249,42.91666666666666
2026-03-23 14:00:00,43.534370211796244,41.63333333333333
2026-03-23 15:00:00,40.33998860441335,40.91666666666666
2026-03-23 16:00:00,37.46845973982141,36.49152542372882
2026-03-23 17:00:00,32.5404572093995,30.62295081967213
2026-03-23 18:00:00,23.070764051444712,18.4
2026-03-23 19:00:00,11.827525780008525,8.783333333333333
2026-03-23 20:00:00,4.47827994064975,4.65
2026-03-23 21:00:00,1.301341205819574,2.1333333333333333
2026-03-23 22:00:00,0.8352499748936837,0.2542372881355932
2026-03-23 23:00:00,0.8208995459497097,0.0
2026-03-24 00:00:00,0.7882185131186434,0.0
2026-03-24 01:00:00,0.6350680654114906,0.0
2026-03-24 02:00:00,0.606552492321436,0.0
2026-03-24 03:00:00,0.8820794116380308,0.0
2026-03-24 04:00:00,0.6651633361097815,0.0
2026-03-24 05:00:00,0.7652948237955041,0.0
2026-03-24 06:00:00,2.0943360925388026,1.55
2026-03-24 07:00:00,17.876217175760885,18.35593220338983
2026-03-24 08:00:00,43.154610575612494,47.11666666666667
2026-03-24 09:00:00,54.20061169149332,55.704918032786885
2026-03-24 10:00:00,57.419226400940445,54.833333333333336
2026-03-24 11:00:00,56.308284664014764,48.05
2026-03-24 12:00:00,49.6627184071011,43.32203389830509
2026-03-24 13:00:00,45.17806918721821,39.56666666666667
2026-03-24 14:00:00,42.23502456253211,37.09836065573771
2026-03-24 15:00:00,39.46385882247057,37.016666666666666
2026-03-24 16:00:00,33.99375119085738,37.8
2026-03-24 17:00:00,30.836339884628273,29.933333333333334
2026-03-24 18:00:00,22.461771535770858,20.1
2026-03-24 19:00:00,9.838617246118758,11.15
2026-03-24 20:00:00,4.53878148195248,3.1
2026-03-24 21:00:00,1.768400597328883,1.7
2026-03-24 22:00:00,0.6277945077270359,0.0
2026-03-24 23:00:00,0.7923904758189582,0.0
2026-03-25 00:00:00,0.6768567341273214,0.0
2026-03-25 01:00:00,0.605684350788608,0.0
2026-03-25 02:00:00,0.5262988370460668,0.0
2026-03-25 03:00:00,0.6170588631470529,0.0
2026-03-25 04:00:00,0.5302290616388778,0.0
2026-03-25 05:00:00,0.565093986805502,0.0
2026-03-25 06:00:00,1.7265766479410607,0.7833333333333333
2026-03-25 07:00:00,16.579239004030235,14.433333333333334
2026-03-25 08:00:00,40.99314764192421,37.23333333333333
2026-03-25 09:00:00,51.95215300487137,47.61666666666667
2026-03-25 10:00:00,51.24683148333785,51.38333333333333
2026-03-25 11:00:00,48.29401665696402,48.766666666666666
2026-03-25 12:00:00,44.37457353467692,44.66666666666666
2026-03-25 13:00:00,40.88770045915678,41.440677966101696
2026-03-25 14:00:00,40.06451381463525,42.8688524590164
2026-03-25 15:00:00,39.11639265442027,40.95
