TimeStamp,InUseCapacity_P50,InUseCapacity_Actual
2026-03-22 17:00:00,1.4587161917670342,1.0
2026-03-22 18:00:00,1.3012493201219193,1.0
2026-03-22 19:00:00,0.9680556098998729,1.2333333333333334
2026-03-22 20:00:00,0.4605833385283079,1.0
2026-03-22 21:00:00,0.35774766459252993,0.9333333333333332
2026-03-22 22:00:00,0.23556488952570293,0.0
2026-03-22 23:00:00,0.1838060323160236,0.0
2026-03-23 00:00:00,-0.09689594275598287,0.0
2026-03-23 01:00:00,-0.10730526778324927,0.0
2026-03-23 02:00:00,-0.02234720483263382,0.0
2026-03-23 03:00:00,0.015168279159549665,0.0
2026-03-23 04:00:00,0.013553101646613178,0.0
2026-03-23 05:00:00,0.18561522263805486,0.0
2026-03-23 06:00:00,2.7111739233705943,1.8666666666666667
2026-03-23 07:00:00,18.550560149838045,16.4
2026-03-23 08:00:00,39.91166042176779,42.38333333333333
2026-03-23 09:00:00,48.02795168692292,53.28333333333333
2026-03-23 10:00:00,52.51550231001667,56.88333333333333
2026-03-23 11:00:00,50.723630474582045,53.016666666666666
2026-03-23 12:00:00,47.452715809190536,48.85
2026-03-23 13:00:00,43.1546792896455,42.91666666666666
2026-03-23 14:00:00,42.58627327654559,41.63333333333333
2026-03-23 15:00:00,40.56906333391272,40.91666666666666
2026-03-23 16:00:00,37.60502030008483,36.49152542372882
2026-03-23 17:00:00,31.07802418139899,30.62295081967213
2026-03-23 18:00:00,20.678053591112295,18.4
2026-03-23 19:00:00,11.531970651178927,8.783333333333333
2026-03-23 20:00:00,4.148658609438136,4.65
2026-03-23 21:00:00,1.4693521446860074,2.1333333333333333
2026-03-23 22:00:00,0.6513684147986589,0.2542372881355932
2026-03-23 23:00:00,0.4786486696338732,0.0
2026-03-24 00:00:00,0.00957460410185822,0.0
2026-03-24 01:00:00,-0.004146271131148065,0.0
2026-03-24 02:00:00,-0.04722023712161619,0.0
2026-03-24 03:00:00,-0.13174524464694382,0.0
2026-03-24 04:00:00,-0.08420120824415823,0.0
2026-03-24 05:00:00,0.4183789327978805,0.0
2026-03-24 06:00:00,2.5514556583420047,1.55
2026-03-24 07:00:00,19.90860373896826,18.35593220338983
2026-03-24 08:00:00,42.426880519033574,47.11666666666667
2026-03-24 09:00:00,50.25894217075807,55.704918032786885
2026-03-24 10:00:00,54.53793803358958,54.833333333333336
2026-03-24 11:00:00,54.497437139384786,48.05
2026-03-24 12:00:00,47.19055384967904,43.32203389830509
2026-03-24 13:00:00,42.383467551847176,39.56666666666667
2026-03-24 14:00:00,41.909591285469816,37.09836065573771
2026-03-24 15:00:00,41.865145676655715,37.016666666666666
2026-03-24 16:00:00,36.917488815356535,37.8
2026-03-24 17:00:00,29.687482831513126,29.933333333333334
2026-03-24 18:00:00,20.674924938260265,20.1
2026-03-24 19:00:00,10.170609391429082,11.15
2026-03-24 20:00:00,3.7406373678886524,3.1
2026-03-24 21:00:00,1.6047162325891355,1.7
2026-03-24 22:00:00,0.34248178764500664,0.0
2026-03-24 23:00:00,0.2459438371642311,0.0
2026-03-25 00:00:00,-0.1005919916947608,0.0
2026-03-25 01:00:00,-0.018478514041980806,0.0
2026-03-25 02:00:00,-0.037892036767547564,0.0
2026-03-25 03:00:00,-0.06810565980091449,0.0
2026-03-25 04:00:00,-0.05878496808686931,0.0
2026-03-25 05:00:00,0.4771219809784675,0.0
2026-03-25 06:00:00,2.7324990717998117,0.7833333333333333
2026-03-25 07:00:00,20.36771366366286,14.433333333333334
2026-03-25 08:00:00,43.443614905851476,37.23333333333333
2026-03-25 09:00:00,50.55161430543153,47.61666666666667
2026-03-25 10:00:00,52.79113701191796,51.38333333333333
2026-03-25 11:00:00,49.919976191826095,48.766666666666666
2026-03-25 12:00:00,45.81749335829441,44.66666666666666
2026-03-25 13:00:00,42.4595478788956,41.440677966101696
2026-03-25 14:00:00,42.22869185848468,42.8688524590164
2026-03-25 15:00:00,41.81614627127056,40.95
