TimeStamp,InUseCapacity_P50,InUseCapacity_Actual
2026-03-22 18:00:00,2.1364187816258395,1.0
2026-03-22 19:00:00,-1.71286541271671,1.2333333333333334
2026-03-22 20:00:00,-2.979683375054467,1.0
2026-03-22 21:00:00,-3.193425852876156,0.9333333333333332
2026-03-22 22:00:00,-0.07679165560107323,0.0
2026-03-22 23:00:00,0.5379050676443642,0.0
2026-03-23 00:00:00,0.856969786198621,0.0
2026-03-23 01:00:00,-0.23523783498393339,0.0
2026-03-23 02:00:00,-0.29665993852269,0.0
2026-03-23 03:00:00,0.12246804787358022,0.0
2026-03-23 04:00:00,0.2868651514722512,0.0
2026-03-23 05:00:00,-0.5451290119616701,0.0
2026-03-23 06:00:00,3.0752467724769863,1.8666666666666667
2026-03-23 07:00:00,15.560937552806429,16.4
2026-03-23 08:00:00,34.40135976789581,42.38333333333333
2026-03-23 09:00:00,47.34531437028079,53.28333333333333
2026-03-23 10:00:00,49.781173101554806,56.88333333333333
2026-03-23 11:00:00,54.64736798651942,53.016666666666666
2026-03-23 12:00:00,49.95551623187475,48.85
2026-03-23 13:00:00,48.280118278046444,42.91666666666666
2026-03-23 14:00:00,43.00838154330616,41.63333333333333
2026-03-23 15:00:00,42.350746710870354,40.91666666666666
2026-03-23 16:00:00,34.93404517377462,36.49152542372882
2026-03-23 17:00:00,31.5378359656541,30.62295081967213
2026-03-23 18:00:00,21.041474575329495,18.4
2026-03-23 19:00:00,9.803769160132525,8.783333333333333
2026-03-23 20:00:00,3.3494316444428476,4.65
2026-03-23 21:00:00,-1.3406050017165239,2.1333333333333333
2026-03-23 22:00:00,-1.4186260569833857,0.2542372881355932
2026-03-23 23:00:00,-0.9003295993834245,0.0
2026-03-24 00:00:00,-0.3938258320028471,0.0
2026-03-24 01:00:00,-1.2134491994159846,0.0
2026-03-24 02:00:00,-0.10292742724912998,0.0
2026-03-24 03:00:00,0.7152764446616298,0.0
2026-03-24 04:00:00,1.4764208506964325,0.0
2026-03-24 05:00:00,0.9407948098117196,0.0
2026-03-24 06:00:00,3.805218828761978,1.55
2026-03-24 07:00:00,20.165473514832424,18.35593220338983
2026-03-24 08:00:00,44.39400710298432,47.11666666666667
2026-03-24 09:00:00,56.4571792909934,55.704918032786885
2026-03-24 10:00:00,60.931895073273786,54.833333333333336
2026-03-24 11:00:00,56.5669381929993,48.05
2026-03-24 12:00:00,50.74798647419151,43.32203389830509
2026-03-24 13:00:00,45.324281361327536,39.56666666666667
2026-03-24 14:00:00,40.92235490423344,37.09836065573771
2026-03-24 15:00:00,39.52065253850489,37.016666666666666
2026-03-24 16:00:00,33.659369176376735,37.8
2026-03-24 17:00:00,25.98328991940504,29.933333333333334
2026-03-24 18:00:00,18.550077141087293,20.1
2026-03-24 19:00:00,11.389824408892991,11.15
2026-03-24 20:00:00,2.745062758849863,3.1
2026-03-24 21:00:00,-0.05201837357452349,1.7
2026-03-24 22:00:00,0.09370395932729916,0.0
2026-03-24 23:00:00,-0.7435903484226292,0.0
2026-03-25 00:00:00,0.9554792766341078,0.0
2026-03-25 01:00:00,0.1310426387946687,0.0
2026-03-25 02:00:00,0.4987520471268374,0.0
2026-03-25 03:00:00,0.12422677437103635,0.0
2026-03-25 04:00:00,0.7599835435515568,0.0
2026-03-25 05:00:00,0.22618912586421575,0.0
2026-03-25 06:00:00,3.144603850530633,0.7833333333333333
2026-03-25 07:00:00,19.081380791572727,14.433333333333334
2026-03-25 08:00:00,44.77774678185393,37.23333333333333
2026-03-25 09:00:00,56.93519500329927,47.61666666666667
2026-03-25 10:00:00,53.35264200755901,51.38333333333333
2026-03-25 11:00:00,48.58526877124747,48.766666666666666
2026-03-25 12:00:00,38.925679885128446,44.66666666666666
2026-03-25 13:00:00,39.293241994361665,41.440677966101696
2026-03-25 14:00:00,39.07589877862802,42.8688524590164
2026-03-25 15:00:00,37.78075535021816,40.95
