mode,horizon_h,MSE,RMSE,MAE,R²
none,2,3.9735,1.9934,1.2405,0.991
none,3,5.7183,2.3913,1.554,0.9871
none,4,7.3378,2.7088,1.8022,0.9835
calendar,2,4.8639,2.2054,1.3586,0.989
calendar,3,6.3175,2.5135,1.565,0.9857
calendar,4,5.7899,2.4062,1.4439,0.987
