model,horizon_h,MSE,RMSE,MAE,R²
TimesFM-2.5,2,7.3162,2.7049,1.844,0.9834
TimesFM-2.5,3,11.5612,3.4002,2.3606,0.9739
TimesFM-2.5,4,13.4978,3.6739,2.6423,0.9696
