,MAE,RMSE,R-squared
ARIMA,13.870196570176539,23.062464630113272,-0.5598715504730587
Prophet,8.444931568821875,9.865206616792396,0.7145764696702532
Chronos-2,5.895347896756118,9.159187231487945,0.753968181701285
