TimeStamp,InUseCapacity_P50,InUseCapacity_Actual
2026-03-22 18:00:00,1.4414435496586193,1.0
2026-03-22 19:00:00,1.224291029291313,1.2333333333333334
2026-03-22 20:00:00,0.7000925649064675,1.0
2026-03-22 21:00:00,0.33730223642246127,0.9333333333333332
2026-03-22 22:00:00,0.13759273303641031,0.0
2026-03-22 23:00:00,0.1166689012705123,0.0
2026-03-23 00:00:00,-0.021939373595871045,0.0
2026-03-23 01:00:00,-0.06319807551528978,0.0
2026-03-23 02:00:00,-0.28373023372130274,0.0
2026-03-23 03:00:00,-0.07720420322257587,0.0
2026-03-23 04:00:00,0.025984583697769438,0.0
2026-03-23 05:00:00,0.10354660737294169,0.0
2026-03-23 06:00:00,1.8961020660009864,1.8666666666666667
2026-03-23 07:00:00,15.003628569668344,16.4
2026-03-23 08:00:00,36.62823318602955,42.38333333333333
2026-03-23 09:00:00,49.828020755214865,53.28333333333333
2026-03-23 10:00:00,52.41504953464445,56.88333333333333
2026-03-23 11:00:00,51.74604720626396,53.016666666666666
2026-03-23 12:00:00,47.78023136542632,48.85
2026-03-23 13:00:00,45.377678280580895,42.91666666666666
2026-03-23 14:00:00,43.54143143040732,41.63333333333333
2026-03-23 15:00:00,42.28894696150502,40.91666666666666
2026-03-23 16:00:00,38.49394680544614,36.49152542372882
2026-03-23 17:00:00,32.213276361572994,30.62295081967213
2026-03-23 18:00:00,23.952782708641223,18.4
2026-03-23 19:00:00,12.401753200202787,8.783333333333333
2026-03-23 20:00:00,5.9043821481158805,4.65
2026-03-23 21:00:00,2.1635683589648362,2.1333333333333333
2026-03-23 22:00:00,0.6086532204158351,0.2542372881355932
2026-03-23 23:00:00,0.38258591390501717,0.0
2026-03-24 00:00:00,0.2355131984198401,0.0
2026-03-24 01:00:00,0.035183500355672886,0.0
2026-03-24 02:00:00,0.023539395269114402,0.0
2026-03-24 03:00:00,-0.021428809564231287,0.0
2026-03-24 04:00:00,0.3085662729298269,0.0
2026-03-24 05:00:00,0.5597748853761757,0.0
2026-03-24 06:00:00,2.8486444797960626,1.55
2026-03-24 07:00:00,17.276605880452003,18.35593220338983
2026-03-24 08:00:00,39.04507375135763,47.11666666666667
2026-03-24 09:00:00,51.554953112860304,55.704918032786885
2026-03-24 10:00:00,54.373716444539184,54.833333333333336
2026-03-24 11:00:00,53.99522891871089,48.05
2026-03-24 12:00:00,48.483328521700386,43.32203389830509
2026-03-24 13:00:00,44.1471376777575,39.56666666666667
2026-03-24 14:00:00,40.95968877205436,37.09836065573771
2026-03-24 15:00:00,41.18158054151726,37.016666666666666
2026-03-24 16:00:00,39.13361559175323,37.8
2026-03-24 17:00:00,30.789545649823232,29.933333333333334
2026-03-24 18:00:00,21.771915442348515,20.1
2026-03-24 19:00:00,12.437804281199183,11.15
2026-03-24 20:00:00,5.828490547520474,3.1
2026-03-24 21:00:00,1.8288323692957205,1.7
2026-03-24 22:00:00,0.7362166433672186,0.0
2026-03-24 23:00:00,0.31679461428824124,0.0
2026-03-25 00:00:00,0.13786824871148204,0.0
2026-03-25 01:00:00,0.03613014704729533,0.0
2026-03-25 02:00:00,-0.055330955314797176,0.0
2026-03-25 03:00:00,-0.055214101555829606,0.0
2026-03-25 04:00:00,0.10864270378013938,0.0
2026-03-25 05:00:00,0.08575809279522158,0.0
2026-03-25 06:00:00,2.1854541057769543,0.7833333333333333
2026-03-25 07:00:00,16.813779106178195,14.433333333333334
2026-03-25 08:00:00,40.53268136393099,37.23333333333333
2026-03-25 09:00:00,51.752363613670056,47.61666666666667
2026-03-25 10:00:00,54.06014141763075,51.38333333333333
2026-03-25 11:00:00,49.95364814380035,48.766666666666666
2026-03-25 12:00:00,45.270973606457716,44.66666666666666
2026-03-25 13:00:00,41.99645661852662,41.440677966101696
2026-03-25 14:00:00,40.88468792127828,42.8688524590164
2026-03-25 15:00:00,41.86338897351732,40.95
