,MAE,RMSE,R-squared
ARIMA,18.4304860530699,19.54091794860266,-0.10588268520516664
Prophet,8.392357842178448,10.478351341999119,0.6820161606000054
Chronos-2,6.1082571809262625,9.356142858042825,0.7464796505357302
